DateTime_utc,Profile_ID,Distance_to_CRNS_m,Profile_Depth_cm,SoilMoisture_g_g,DryBulkDensity_g_cm3,SoilOrganicCarbon_g_g,LatticeWater_g_g
14.02.2019 12:00,38,8.848641534,27.5,0.074294726,1.74393074,0.010661402,0.000664011
14.02.2019 12:00,38,8.848641534,32.5,0.06159601,1.633820984,0.008640265,0.001334669
14.02.2019 12:00,39,5.079744422,2.5,0.188218201,0.771175728,0.059544427,0.003303205
14.02.2019 12:00,39,5.079744422,7.5,0.076105088,1.465549646,0.023312616,0.002656085
14.02.2019 12:00,39,5.079744422,12.5,0.067782896,1.636469322,0.018083252,0.000672043
14.02.2019 12:00,39,5.079744422,17.5,0.060282852,1.728550006,0.014680421,0.000662691
14.02.2019 12:00,39,5.079744422,22.5,0.075741492,1.631274505,0.015231865,0
14.02.2019 12:00,39,5.079744422,27.5,0.067726001,1.711539526,0.010661402,0.000664011
14.02.2019 12:00,39,5.079744422,32.5,0.055774513,1.705733554,0.008640265,0.001334669
14.02.2019 12:00,40,5.289082924,2.5,0.232111693,0.700383609,0.059544427,0.003303205
14.02.2019 12:00,40,5.289082924,7.5,0.088729804,1.550907625,0.023312616,0.002656085
14.02.2019 12:00,40,5.289082924,12.5,0.05112226,1.928703263,0.018083252,0.000672043
14.02.2019 12:00,40,5.289082924,17.5,0.060175879,1.621597885,0.014680421,0.000662691
14.02.2019 12:00,40,5.289082924,22.5,0.044609235,1.758191023,0.015231865,0
14.02.2019 12:00,40,5.289082924,27.5,0.037774684,1.682611524,0.010661402,0.000664011
14.02.2019 12:00,40,5.289082924,32.5,0.043536422,1.675175805,0.008640265,0.001334669
14.02.2019 12:00,41,6.782044581,2.5,0.337137423,0.642629463,0.059544427,0.003303205
14.02.2019 12:00,41,6.782044581,7.5,0.10081346,1.46504035,0.023312616,0.002656085
14.02.2019 12:00,41,6.782044581,12.5,0.083764156,1.65500769,0.018083252,0.000672043
14.02.2019 12:00,41,6.782044581,17.5,0.082838326,1.577594726,0.014680421,0.000662691
14.02.2019 12:00,41,6.782044581,22.5,0.072281887,1.688213778,0.015231865,0
14.02.2019 12:00,41,6.782044581,27.5,0.071970609,1.691269552,0.010661402,0.000664011
14.02.2019 12:00,41,6.782044581,32.5,0.069252751,1.675277664,0.008640265,0.001334669
14.02.2019 12:00,42,7.868765865,2.5,0.28008778,0.881896638,0.059544427,0.003303205
14.02.2019 12:00,42,7.868765865,7.5,0.102340315,1.575557543,0.023312616,0.002656085
14.02.2019 12:00,42,7.868765865,12.5,0.084459878,1.642580872,0.018083252,0.000672043
14.02.2019 12:00,42,7.868765865,17.5,0.073368906,1.679861326,0.014680421,0.000662691
14.02.2019 12:00,42,7.868765865,22.5,0.073266745,1.733642965,0.015231865,0
14.02.2019 12:00,42,7.868765865,27.5,0.068681319,1.705529835,0.010661402,0.000664011
14.02.2019 12:00,42,7.868765865,32.5,0.074637814,1.666314057,0.008640265,0.001334669
14.02.2019 12:00,43,22.66644895,2.5,0.259502749,0.852153763,0.059544427,0.003303205
14.02.2019 12:00,43,22.66644895,7.5,0.07820795,1.573316641,0.023312616,0.002656085
14.02.2019 12:00,43,22.66644895,12.5,0.064103345,1.671610734,0.018083252,0.000672043
14.02.2019 12:00,43,22.66644895,17.5,0.065258895,1.760635643,0.014680421,0.000662691
14.02.2019 12:00,43,22.66644895,22.5,0.062466247,1.697482961,0.015231865,0
14.02.2019 12:00,43,22.66644895,27.5,0.055043632,1.669166114,0.010661402,0.000664011
14.02.2019 12:00,43,22.66644895,32.5,0.058400339,1.684852425,0.008640265,0.001334669
14.02.2019 12:00,44,49.32058692,2.5,1.009633911,0.317189435,0.059544427,0.003303205
14.02.2019 12:00,44,49.32058692,7.5,0.70982583,0.61991487,0.023312616,0.002656085
14.02.2019 12:00,44,49.32058692,12.5,1.01023587,0.228877541,0.018083252,0.000672043
14.02.2019 12:00,44,49.32058692,17.5,1.013050154,0.398065611,0.014680421,0.000662691
14.02.2019 12:00,44,49.32058692,22.5,1.061983471,0.419048599,0.015231865,0
14.02.2019 12:00,44,49.32058692,27.5,1.097692308,0.397250738,0.010661402,0.000664011
14.02.2019 12:00,44,49.32058692,32.5,0.998973727,0.496257845,0.008640265,0.001334669
14.02.2019 12:00,45,38.63301785,2.5,,,0.059544427,0.003303205
14.02.2019 12:00,45,38.63301785,7.5,0.164650098,1.245941289,0.023312616,0.002656085
14.02.2019 12:00,45,38.63301785,12.5,0.092859493,1.547749991,0.018083252,0.000672043
14.02.2019 12:00,45,38.63301785,17.5,0.105136986,1.487143789,0.014680421,0.000662691
14.02.2019 12:00,45,38.63301785,22.5,0.094258734,1.758191023,0.015231865,0
14.02.2019 12:00,45,38.63301785,27.5,0.08862194,1.797610519,0.010661402,0.000664011
14.02.2019 12:00,45,38.63301785,32.5,,,0.008640265,0.001334669
14.02.2019 12:00,46,25.58765679,2.5,0.254872564,0.747340683,0.059544427,0.003303205
14.02.2019 12:00,46,25.58765679,7.5,0.082315281,1.559158217,0.023312616,0.002656085
14.02.2019 12:00,46,25.58765679,12.5,0.065953103,1.646349661,0.018083252,0.000672043
